,popularity,duration_ms
0,0,226477.15590855334
1,1,216681.17451075529
2,2,214472.89933512188
3,3,210796.3007528728
4,4,209372.27854226524
5,5,212895.07561408702
6,6,215517.40599786877
7,7,216422.35749209087
8,8,211963.37668539325
9,9,219755.94791406445
10,10,219712.1870503597
11,11,213514.7672209026
12,12,213820.91143451142
13,13,217094.125115848
14,14,215785.71764877907
15,15,217764.9859887332
16,16,212542.789193729
17,17,217204.12630136986
18,18,212757.86887238352
19,19,218774.94760998545
20,20,222657.0975979007
21,21,224098.26278110652
22,22,224726.4251089109
23,23,228246.96123223455
24,24,226407.48452562152
25,25,231316.82265197017
26,26,232804.1871842595
27,27,229356.56401152274
28,28,233307.75935281266
29,29,234499.21956060504
30,30,235623.59625776816
31,31,237572.9218739646
32,32,239722.27811278246
33,33,238478.5635042081
34,34,242173.94402837998
35,35,240070.1238191633
36,36,239088.41351796902
37,37,241273.3785053281
38,38,241290.82718418996
39,39,243547.65349854226
40,40,244298.1810084652
41,41,243874.15809174898
42,42,242399.88596790715
43,43,243461.98276727455
44,44,241218.1258313381
45,45,244569.49881651616
46,46,244572.91204058193
47,47,241217.14785876768
48,48,242613.68415841585
49,49,241868.86582253632
50,50,242577.0026536461
51,51,240137.2224110356
52,52,245985.4045638729
53,53,243817.00456366874
54,54,245717.66275625073
55,55,239837.11828236826
56,56,242051.56197427015
57,57,239383.40615183246
58,58,236125.37075905694
59,59,235121.06690615177
60,60,239597.0941523189
61,61,237395.73067756213
62,62,238278.8263365038
63,63,234110.38480392157
64,64,231012.59933903578
65,65,232039.47701863354
66,66,234619.93451286765
67,67,231308.34640353156
68,68,232669.23161856964
69,69,227559.64078263528
70,70,222701.1886735312
71,71,224056.9845857418
72,72,224431.84120982987
73,73,223587.59083402148
74,74,219782.99022222223
75,75,228722.8658468418
76,76,217495.09392611147
77,77,213625.42582417582
78,78,216051.0250231696
79,79,220776.05196629214
80,80,208221.96411092984
81,81,212319.0340356564
82,82,211624.97297297296
83,83,226489.9346590909
84,84,201034.77327935223
85,85,206278.40697674418
86,86,200660.4
87,87,197754.8125
88,88,202294.66666666666
89,89,212862.1
90,90,203097.90697674418
91,91,196499.38805970148
92,92,169047.63636363635
93,93,167412.8
94,94,178853.9090909091
95,95,194632.8
96,96,156425.5
97,100,242014.0
